Dataset,Breiman,Ancestor,Zhu
ACSF1,0.6262626262626263,0.6464646464646465,0.6363636363636364
ACSF1,0.6262626262626263,0.6464646464646465,0.6060606060606061
ACSF1,0.5656565656565656,0.6363636363636364,0.6161616161616161
ACSF1,0.5959595959595959,0.6262626262626263,0.6060606060606061
ACSF1,0.5656565656565656,0.6060606060606061,0.6060606060606061
ACSF1,0.6161616161616161,0.6363636363636364,0.6161616161616161
ACSF1,0.5959595959595959,0.5959595959595959,0.5959595959595959
ACSF1,0.5656565656565656,0.6262626262626263,0.6060606060606061
ACSF1,0.5858585858585859,0.6666666666666666,0.6767676767676768
ACSF1,0.6161616161616161,0.6464646464646465,0.6363636363636364
Adiac,0.6923076923076923,0.7153846153846154,0.7102564102564103
Adiac,0.6846153846153846,0.7256410256410256,0.7307692307692307
Adiac,0.7,0.735897435897436,0.7384615384615385
Adiac,0.6897435897435897,0.7205128205128205,0.7205128205128205
Adiac,0.717948717948718,0.7307692307692307,0.7307692307692307
Adiac,0.7025641025641025,0.7282051282051282,0.7282051282051282
Adiac,0.7,0.6974358974358974,0.7025641025641025
Adiac,0.7051282051282052,0.7256410256410256,0.7282051282051282
Adiac,0.6974358974358974,0.7153846153846154,0.7205128205128205
Adiac,0.6974358974358974,0.7153846153846154,0.7205128205128205
ArrowHead,0.7758620689655172,0.7931034482758621,0.7816091954022989
ArrowHead,0.7586206896551724,0.764367816091954,0.7413793103448276
ArrowHead,0.735632183908046,0.7471264367816092,0.7528735632183908
ArrowHead,0.7241379310344828,0.7586206896551724,0.7413793103448276
ArrowHead,0.7528735632183908,0.7413793103448276,0.7471264367816092
ArrowHead,0.735632183908046,0.7471264367816092,0.7413793103448276
ArrowHead,0.7413793103448276,0.7471264367816092,0.7241379310344828
ArrowHead,0.7298850574712644,0.7413793103448276,0.7298850574712644
ArrowHead,0.7413793103448276,0.7816091954022989,0.7528735632183908
ArrowHead,0.7241379310344828,0.7528735632183908,0.7298850574712644
BME,0.9261744966442953,0.9261744966442953,0.9328859060402684
BME,0.912751677852349,0.9194630872483222,0.9194630872483222
BME,0.8657718120805369,0.8859060402684564,0.8926174496644296
BME,0.8926174496644296,0.8926174496644296,0.9060402684563759
BME,0.9060402684563759,0.912751677852349,0.912751677852349
BME,0.8859060402684564,0.8791946308724832,0.8926174496644296
BME,0.9060402684563759,0.8926174496644296,0.9261744966442953
