Dataset,Breiman,Ancestor,Zhu
ACSF1,0.6363636363636364,0.6565656565656566,0.6565656565656566
Adiac,0.6897435897435897,0.7230769230769231,0.717948717948718
AllGestureWiimoteX,0.5436337625178826,0.547925608011445,0.5507868383404864
AllGestureWiimoteY,0.5393419170243204,0.5693848354792561,0.5679542203147353
AllGestureWiimoteZ,0.4334763948497854,0.45064377682403434,0.45064377682403434
ArrowHead,0.7528735632183908,0.7471264367816092,0.7413793103448276
BME,0.9194630872483222,0.912751677852349,0.9261744966442953
Beef,0.6896551724137931,0.6551724137931034,0.6206896551724138
BeetleFly,0.7368421052631579,0.7894736842105263,0.7368421052631579
BirdChicken,0.6842105263157895,0.6842105263157895,0.6842105263157895
CBF,0.9944382647385984,0.996662958843159,0.996662958843159
Car,0.7288135593220338,0.7288135593220338,0.7288135593220338
Chinatown,0.956140350877193,0.8859649122807017,0.9005847953216374
ChlorineConcentration,0.7051315446730919,0.7077363896848138,0.712425110705913
CinCECGTorso,0.9282088469905729,0.9332849891225525,0.9347353154459753
Coffee,1,1,1
Computers,0.7188755020080321,0.6987951807228916,0.6867469879518072
CricketX,0.6580976863753213,0.6529562982005142,0.6555269922879178
CricketY,0.6658097686375322,0.6709511568123393,0.6786632390745502
CricketZ,0.6683804627249358,0.6683804627249358,0.6735218508997429
Crop,0.7380201202452527,0.7278409429132686,0.7271266146794452
DiatomSizeReduction,0.9672131147540983,0.9639344262295082,0.9737704918032787
DistalPhalanxOutlineAgeGroup,0.7318840579710145,0.7318840579710145,0.7463768115942029
DistalPhalanxOutlineCorrect,0.7527272727272727,0.7563636363636363,0.7563636363636363
DistalPhalanxTW,0.6884057971014492,0.6739130434782609,0.6811594202898551
DodgerLoopDay,0.5949367088607594,0.6329113924050633,0.6075949367088608
DodgerLoopGame,0.8248175182481752,0.7883211678832117,0.8248175182481752
DodgerLoopWeekend,0.9854014598540146,0.9708029197080292,0.9708029197080292
ECG200,0.8585858585858586,0.8787878787878788,0.8888888888888888
ECG5000,0.9379862191598133,0.9373194043120694,0.9379862191598133
ECGFiveDays,0.913953488372093,0.8953488372093024,0.8895348837209303
EOGHorizontalSignal,0.5207756232686981,0.5096952908587258,0.5041551246537396
EOGVerticalSignal,0.46814404432132967,0.4626038781163435,0.4709141274238227
Earthquakes,0.7391304347826086,0.7463768115942029,0.7391304347826086
ElectricDevices,0.6690012970168612,0.6610894941634241,0.6601815823605707
EthanolLevel,0.43887775551102204,0.48296593186372744,0.46893787575150303
FaceAll,0.7465956187092955,0.7442273534635879,0.7471876850207223
FaceFour,0.896551724137931,0.896551724137931,0.9310344827586207
FacesUCR,0.8853099072718399,0.8862859931673988,0.8867740361151781
FiftyWords,0.7312775330396476,0.711453744493392,0.7158590308370044
Fish,0.7758620689655172,0.7758620689655172,0.7931034482758621
FordA,0.7642153146322972,0.7338893100833965,0.7293404094010614
FordB,0.6353522867737948,0.61557478368356,0.622991347342398
FreezerRegularTrain,0.9898209898209899,0.9905229905229905,0.9898209898209899
FreezerSmallTrain,0.8448578448578449,0.8294138294138295,0.8318708318708319
Fungi,0.8702702702702703,0.8648648648648649,0.8648648648648649
GestureMidAirD1,0.6124031007751938,0.627906976744186,0.6356589147286822
GestureMidAirD2,0.49612403100775193,0.5581395348837209,0.5426356589147286
GestureMidAirD3,0.3953488372093023,0.40310077519379844,0.4108527131782946
GesturePebbleZ1,0.8538011695906432,0.8538011695906432,0.8538011695906432
GesturePebbleZ2,0.8280254777070064,0.8343949044585988,0.8407643312101911
GunPoint,0.9530201342281879,0.9530201342281879,0.9530201342281879
GunPointAgeSpan,0.9936507936507937,0.9936507936507937,0.9936507936507937
GunPointMaleVersusFemale,0.9904761904761905,0.9904761904761905,0.9904761904761905
GunPointOldVersusYoung,1,1,1
Ham,0.6826923076923077,0.6826923076923077,0.6923076923076923
HandOutlines,0.907859078590786,0.8997289972899729,0.8997289972899729
Haptics,0.3941368078175896,0.4201954397394137,0.41368078175895767
Herring,0.5396825396825397,0.5714285714285714,0.5079365079365079
HouseTwenty,0.8220338983050848,0.8135593220338984,0.8305084745762712
InlineSkate,0.37340619307832423,0.3843351548269581,0.37522768670309653
InsectEPGRegularTrain,0.9758064516129032,0.9758064516129032,0.9758064516129032
InsectEPGSmallTrain,0.9758064516129032,0.9637096774193549,0.9758064516129032
InsectWingbeatSound,0.5977766548762001,0.5912076806467913,0.5896917635169278
ItalyPowerDemand,0.9630350194552529,0.9620622568093385,0.9601167315175098
LargeKitchenAppliances,0.5641711229946524,0.5508021390374331,0.553475935828877
Lightning2,0.8,0.8,0.7833333333333333
Lightning7,0.7638888888888888,0.7777777777777778,0.7638888888888888
Mallat,0.947098976109215,0.950938566552901,0.950938566552901
Meat,0.864406779661017,0.8983050847457628,0.864406779661017
MedicalImages,0.7444005270092227,0.7523056653491436,0.7575757575757576
MelbournePedestrian,0.9520098441345365,0.9552912223133716,0.9552912223133716
MiddlePhalanxOutlineAgeGroup,0.5424836601307189,0.5228758169934641,0.5294117647058824
MiddlePhalanxOutlineCorrect,0.7931034482758621,0.7965517241379311,0.7931034482758621
MiddlePhalanxTW,0.5228758169934641,0.49673202614379086,0.5098039215686274
MixedShapesRegularTrain,0.9141914191419142,0.9113036303630363,0.9108910891089109
MixedShapesSmallTrain,0.8411716171617162,0.8428217821782178,0.844059405940594
MoteStrain,0.8449240607513989,0.8377298161470823,0.8497202238209433
NonInvasiveFetalECGThorax1,0.8538696537678208,0.8492871690427699,0.8543788187372708
NonInvasiveFetalECGThorax2,0.8971486761710794,0.8930753564154786,0.8940936863543788
OSULeaf,0.5684647302904564,0.5809128630705395,0.5767634854771784
OliveOil,0.896551724137931,0.896551724137931,0.896551724137931
PLAID,0.7089552238805971,0.7257462686567164,0.7276119402985075
PhalangesOutlinesCorrect,0.793465577596266,0.7747957992998833,0.7689614935822637
Phoneme,0.17730870712401056,0.16939313984168866,0.1704485488126649
PickupGestureWiimoteZ,0.6326530612244898,0.6530612244897959,0.6530612244897959
PigAirwayPressure,0.2028985507246377,0.2222222222222222,0.22705314009661837
PigArtPressure,0.41545893719806765,0.3961352657004831,0.391304347826087
PigCVP,0.2753623188405797,0.27053140096618356,0.26570048309178745
Plane,0.9903846153846154,0.9903846153846154,0.9903846153846154
PowerCons,0.994413407821229,0.994413407821229,0.994413407821229
ProximalPhalanxOutlineAgeGroup,0.8333333333333334,0.8382352941176471,0.8382352941176471
ProximalPhalanxOutlineCorrect,0.8068965517241379,0.8137931034482758,0.8068965517241379
ProximalPhalanxTW,0.7401960784313726,0.7549019607843137,0.7450980392156863
RefrigerationDevices,0.5481283422459893,0.5267379679144385,0.5187165775401069
Rock,0.5714285714285714,0.5714285714285714,0.5918367346938775
ScreenType,0.4358288770053476,0.42245989304812837,0.42780748663101603
SemgHandGenderCh2,0.9599332220367279,0.9599332220367279,0.9565943238731218
SemgHandMovementCh2,0.8663697104677061,0.8797327394209354,0.8797327394209354
SemgHandSubjectCh2,0.9198218262806236,0.9265033407572383,0.9242761692650334
ShakeGestureWiimoteZ,0.8979591836734694,0.8979591836734694,0.8979591836734694
ShapeletSim,0.5083798882681564,0.5139664804469274,0.5139664804469274
ShapesAll,0.8046744574290484,0.7846410684474123,0.7879799666110183
SmallKitchenAppliances,0.8288770053475936,0.8101604278074866,0.8074866310160428
SmoothSubspace,0.9530201342281879,0.959731543624161,0.9731543624161074
SonyAIBORobotSurface1,0.7833333333333333,0.7683333333333333,0.7783333333333333
SonyAIBORobotSurface2,0.8298319327731093,0.8235294117647058,0.8308823529411765
StarLightCurves,0.9658773527625987,0.9576199149969642,0.9594414086217364
Strawberry,0.9512195121951219,0.948509485094851,0.9566395663956639
SwedishLeaf,0.9086538461538461,0.8942307692307693,0.8942307692307693
Symbols,0.9185110663983903,0.9195171026156942,0.9225352112676056
SyntheticControl,0.9866220735785953,0.9933110367892977,0.9933110367892977
ToeSegmentation1,0.7312775330396476,0.7136563876651982,0.7224669603524229
ToeSegmentation2,0.813953488372093,0.813953488372093,0.8372093023255814
Trace,1,0.98989898989899,0.98989898989899
TwoLeadECG,0.7355008787346221,0.7337434094903339,0.7284710017574693
TwoPatterns,0.9929982495623906,0.9924981245311327,0.9932483120780196
UMD,0.8741258741258742,0.8601398601398601,0.8671328671328671
UWaveGestureLibraryAll,0.9569952527227031,0.9553197430885227,0.9569952527227031
UWaveGestureLibraryX,0.7891650376989667,0.7782742250767942,0.7791119798938844
UWaveGestureLibraryY,0.7196313878804803,0.7109745881038816,0.7115330913152751
UWaveGestureLibraryZ,0.7268919296285954,0.7062273108070372,0.7056688075956437
Wafer,0.9946454648710044,0.9954567580723673,0.9954567580723673
Wine,0.6792452830188679,0.6981132075471698,0.6981132075471698
WordSynonyms,0.6781789638932496,0.6860282574568289,0.6875981161695447
Worms,0.618421052631579,0.5789473684210527,0.5789473684210527
WormsTwoClass,0.618421052631579,0.6578947368421053,0.6447368421052632
Yoga,0.8446148716238746,0.8466155385128377,0.8436145381793931
